season,episode,rating
1,1,8.6
1,2,7.8
1,3,8
1,4,8.1
1,5,8.3
1,6,8.2
1,7,8.5
1,8,8
1,9,8.5
1,10,8.5
1,11,8.2
1,12,8.7
2,1,8.2
2,2,8.3
2,3,8.2
2,4,8.1
2,5,8.7
2,6,7.9
2,7,8.2
2,8,8.5
2,9,8.3
2,10,8.6
2,11,8.9
2,12,9.3
3,1,8.4
3,2,7.9
3,3,8.1
3,4,8.6
3,5,8.2
3,6,7.5
3,7,8
3,8,8.6
3,9,8.5
3,10,9
3,11,9.5
3,12,9.4
4,1,8.1
4,2,8
4,3,7.8
4,4,8.4
4,5,8.8
4,6,7.6
4,7,7.8
4,8,8.6
4,9,8.5
4,10,8.8
4,11,8.3
4,12,9.3
5,1,8.2
5,2,8
5,3,7.8
5,4,8.5
5,5,8.3
5,6,8.9
5,7,9.1
5,8,9.2